distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.0,0.0,0.18411125,0.0010480987250731633,0.18410626442509787,0.0010483470430872075,0.0,0.18449,0.1844645747107476,0.0,0.18591,0.1859091428872196,0.0,0.18431,0.18430913544658475,0.0,0.18428,0.1842796477029221,0.0,0.18287,0.18285951947500434,0.0,0.18237,0.18236956925597497,0.0,0.18375,0.18374946257119848,0.0,0.18491,0.184909063351131
5,0.0,0.0,0.18187625000000002,0.0011844401367312682,0.18186844808698135,0.0011832426866617463,0.0,0.18258,0.1825476822461474,0.0,0.1838,0.18379682103467623,0.0,0.18142,0.18141427434679766,0.0,0.1816,0.18159446910046545,0.0,0.18121,0.18120966522072535,0.0,0.18012,0.18011997436917454,0.0,0.1809,0.18088560468530504,0.0,0.18338,0.18337909369255917
10,0.0,0.0,0.17414374999999999,0.0010807281977907304,0.1741350098276788,0.001080503915874421,0.0,0.17555,0.1755299303532327,0.0,0.17502,0.1750191278864641,0.0,0.17342,0.17340268925684288,0.0,0.17283,0.17281347120616147,0.0,0.17422,0.1742186071532883,0.0,0.17252,0.17252,0.0,0.17414,0.17413188092126586,0.0,0.17545,0.175444371844175
15,0.0,0.0,0.15977,0.0008911649678931515,0.15975925559417112,0.000896198838730519,0.0,0.16084,0.1608251439783636,0.0,0.16136,0.16135497699613607,0.0,0.15876,0.1587292836530896,0.0,0.15909,0.15907824667279377,0.0,0.15984,0.15983978157388004,0.0,0.15944,0.15943895760963522,0.0,0.15877,0.1587493866615754,0.0,0.16006,0.16005826760789532
20,0.0,0.0,0.1417475,0.0007985103318054146,0.14173706615352927,0.0008052717181816179,0.0,0.14275,0.14274051546097644,0.0,0.14275,0.14274634902512556,0.0,0.14041,0.1403916480072998,0.0,0.1416,0.14159568818617996,0.0,0.14209,0.14208997512419597,0.0,0.14216,0.14215363486430344,0.0,0.14081,0.14077720742981192,0.0,0.14141,0.14140151113034108
25,0.0,0.0,0.122365,0.001007149442734295,0.12235725861131204,0.0010083455611209543,0.0,0.12431,0.12430004161054599,0.0,0.12262,0.12261953878898428,0.0,0.12049,0.12047876316428645,0.0,0.12223,0.12222794565943738,0.0,0.12265,0.12264992883566107,0.0,0.12246,0.12245287242987411,0.0,0.12159,0.12157500131060135,0.0,0.12257,0.12255397709110562
30,0.0,0.0,0.10349625,0.0008435777601975994,0.10348775772657295,0.0008443552104714826,0.0,0.10524,0.10523419843863531,0.0,0.10348,0.10347966260875252,0.0,0.10219,0.10218801715014281,0.0,0.10329,0.10328740134599056,0.0,0.10406,0.10405733531013413,0.0,0.10318,0.10317300873411818,0.0,0.10283,0.10280599003125125,0.0,0.1037,0.10367644819355881
35,0.0,0.0,0.086395,0.0006509416256470305,0.08638567495821947,0.000649157559944899,0.0,0.08744,0.08743001768614786,0.0,0.0864,0.08639924859482301,0.0,0.08575,0.0857439220744163,0.0,0.08611,0.08610243956167547,0.0,0.0859,0.08589943232634648,0.0,0.08666,0.08665200557436763,0.0,0.08559,0.0855697507634379,0.0,0.08731,0.08728858308454111
40,0.0,0.0,0.07099625,0.0008069686719445788,0.07098738592109888,0.0008056620834817047,0.0,0.07127,0.07125614428260782,0.0,0.07107,0.07106429062175583,0.0,0.06984,0.0698357693573913,0.0,0.07022,0.07021374997355535,0.0,0.07131,0.07130955389886927,0.0,0.07163,0.07161759168149806,0.0,0.0702,0.07018470501849974,0.0,0.07243,0.07241728253461364
45,0.0,0.0,0.05789875,0.0006307423701480666,0.05788674468485992,0.000627458965990465,0.0,0.05859,0.05857980420036496,0.0,0.05837,0.05836540143398418,0.0,0.05729,0.0572843476997091,0.0,0.05739,0.05737817305800752,0.0,0.05741,0.057402550082415224,0.0,0.05843,0.058410708685789216,0.0,0.05704,0.05702882518369233,0.0,0.05867,0.058644147134916794
50,0.0,0.0,0.04693125,0.0004595225103300156,0.046917069219441755,0.0004536019152982296,0.0,0.04736,0.04735522339835182,0.0,0.04733,0.04731898792304074,0.0,0.04654,0.04653324818408069,0.0,0.04652,0.04650629780632561,0.0,0.04667,0.0466646195037337,0.0,0.04724,0.04721651838800742,0.0,0.04624,0.04623098899029116,0.0,0.04755,0.04751066956170293
55,0.0,0.0,0.0376875,0.00043288999757444145,0.03767468973264833,0.0004311443882161622,0.0,0.03812,0.03811175669778404,0.0,0.03809,0.03808581649485266,0.0,0.03718,0.037162117596474524,0.0,0.03732,0.03730941490378897,0.0,0.03737,0.037362817090357006,0.0,0.03807,0.03805430772841935,0.0,0.03717,0.03716128785474115,0.0,0.03818,0.03814999949476893
60,0.0,0.0,0.03021125,0.0003334455540264401,0.030201081805853347,0.0003317971031582398,0.0,0.03068,0.030671535147871336,0.0,0.03043,0.030418713013794535,0.0,0.0299,0.029895329166529917,0.0,0.02985,0.02984980425716019,0.0,0.02999,0.029981049285647557,0.0,0.03051,0.030507103670616903,0.0,0.02981,0.029791681802327687,0.0,0.03052,0.03049343810287867
65,0.0,0.0,0.024163749999999998,0.00047578717668722483,0.02415584013619501,0.00047554610442094,0.0,0.02494,0.024939710766057215,0.0,0.02466,0.024656208841867918,0.0,0.02359,0.023582657566927612,0.0,0.02388,0.02387922669033949,0.0,0.02388,0.023876906691921038,0.0,0.02427,0.024265003531670132,0.0,0.02358,0.023568239272866224,0.0,0.02451,0.024478767727910442
70,0.0,0.0,0.0193575,0.0002996560528339121,0.019348752881239585,0.0002981095071993833,0.0,0.01973,0.01972996709513337,0.0,0.0198,0.01979014773748401,0.0,0.0192,0.01919705439321086,0.0,0.01934,0.019338508044719722,0.0,0.01912,0.019115638484902754,0.0,0.01933,0.019326413633288943,0.0,0.01883,0.018821536791447137,0.0,0.01951,0.019470756869729867
75,0.0,0.0,0.015485,0.00029933259094191484,0.015477454006216028,0.00030082856182396187,0.0,0.01571,0.015709885208666726,0.0,0.01585,0.0158444244634688,0.0,0.01544,0.015438486257182835,0.0,0.01593,0.015926191545652606,0.0,0.01529,0.015280445129636425,0.0,0.01501,0.015008265067225102,0.0,0.01523,0.015220407476398173,0.0,0.01542,0.015391526901497542
80,0.0,0.0,0.01234375,0.00021713690957550236,0.012337354886921805,0.0002210462596167385,0.0,0.01258,0.012579174279663924,0.0,0.01255,0.012545809538519555,0.0,0.01228,0.012279788529201457,0.0,0.01264,0.012634863340715148,0.0,0.01223,0.01222008329996143,0.0,0.01203,0.01202927444500173,0.0,0.01237,0.012368314664542393,0.0,0.01207,0.012041530997768791
85,0.0,0.0,0.009778750000000001,0.00016624060123808518,0.009769934333561832,0.0001719435465281898,0.0,0.00991,0.009907896269837515,0.0,0.00974,0.009731436887386936,0.0,0.00976,0.00975642252283455,0.0,0.00999,0.009988375282370263,0.0,0.00972,0.009713319795463986,0.0,0.00946,0.009448986193220864,0.0,0.00998,0.009978583279043591,0.0,0.00967,0.009634454438336954
