distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.019921835559294186,0.0005370936871315899,0.18371625,0.0010794551577068883,0.15781537888138503,0.0010417013602330395,0.01937124614468914,0.18481,0.1593234525202569,0.020111069175607916,0.18547,0.15911446684024386,0.020384615384615383,0.182,0.1558903579113743,0.0202710027100271,0.1845,0.15812277099324745,0.020563594821020565,0.18382,0.15723242972585474,0.019123593049939897,0.18302,0.15803912690206318,0.019254964170450195,0.18281,0.157703861180582,0.020294599018003272,0.1833,0.1570965649774578
5,0.024538797844409675,0.0011370185217915408,0.18174374999999998,0.0014930165563382066,0.15153536186851002,0.0015426917181707764,0.022542681916127964,0.18099,0.15285455176104007,0.023634081109109764,0.18321,0.15361733857035684,0.023812173138978526,0.17974,0.1505641714507932,0.025145277792863737,0.18413,0.15293728539756837,0.02539908936310275,0.18229,0.15116232465185211,0.026482758620689655,0.18125,0.14924745502448955,0.024422297667287263,0.18262,0.15236346981927554,0.024872023147117738,0.17972,0.14953629827270468
10,0.027897041382577103,0.0014408738467218054,0.17420750000000002,0.0012168992357627635,0.14219865527719255,0.0015764988127729433,0.024781508739650415,0.17392,0.14478859184608361,0.029177114201048553,0.17548,0.14205367642498803,0.028037923459359463,0.17298,0.1410740314876491,0.02753022648578078,0.17617,0.1441252384468036,0.02858939905083195,0.17489,0.14213744938381456,0.029965357967667437,0.1732,0.1395324221633302,0.02777936880691907,0.17459,0.14262083354997188,0.02731543234935916,0.17243,0.14125699891489932
15,0.030763769222189957,0.0012475145698477548,0.15975875,0.0015042559414873563,0.1280859785926588,0.0014597597120387272,0.02864698104892023,0.15883,0.12904533776731622,0.030267392919039366,0.16156,0.12987556730184666,0.03089780929466886,0.15794,0.12653101455470003,0.03052397429560059,0.16184,0.12993428202984716,0.030756803777805392,0.16094,0.1290461705639413,0.033395872420262665,0.1599,0.12610388056759606,0.0314086891104006,0.15951,0.1273907478542621,0.03021263091082196,0.15755,0.12676082810176084
20,0.033008477835723915,0.0014365433335522984,0.14184750000000002,0.0013255258390540653,0.11216182478654736,0.001301287591686009,0.03026841804683038,0.14008,0.11266081122899262,0.031972694343828365,0.14356,0.1141948448633366,0.03466932441090624,0.14047,0.10994622166659769,0.03314261791794586,0.14332,0.11322396101961649,0.032892434740009795,0.14289,0.11307201666807905,0.03489355702805583,0.14186,0.11085640541445314,0.03399831413318348,0.14236,0.11190637426465953,0.03223046206503138,0.14024,0.11143396316664377
25,0.03418057034950084,0.0016791228712995684,0.1226325,0.0010902952581755092,0.09626837524145757,0.0009555245666260857,0.030634933706662273,0.12143,0.0974410655200217,0.033149619063057224,0.12338,0.0974112665735228,0.03570256073539067,0.12184,0.09476426749244085,0.03453587353060397,0.12335,0.09662569642383152,0.03499272668498465,0.12374,0.09665856060524099,0.0356938190749079,0.12215,0.09499470333108949,0.03568264196536448,0.12415,0.09658267324535941,0.03305238803503553,0.12102,0.09566876874015384
30,0.03540437765893026,0.0019558177796824353,0.10371625,0.0008188396897439682,0.08081625869684134,0.0009775457923687182,0.031750655403437224,0.10299,0.0820728853887638,0.03337477287941092,0.10457,0.08246838519027354,0.03711620676253401,0.10292,0.07936753925006551,0.03611911623439001,0.1041,0.08075974293567781,0.036038619634834144,0.10461,0.08119405608897103,0.035862735621072984,0.10345,0.08036055075804581,0.03832186544342508,0.10464,0.0801027922519064,0.03465104929233773,0.10245,0.08020411771102678
35,0.03661794565995683,0.002186770139229326,0.08645375,0.000717581659116229,0.06687044549773774,0.0008854243529860513,0.033364333875842825,0.08602,0.06787053809631412,0.0336692624828218,0.08732,0.06872432655743038,0.0380409492787343,0.08596,0.06592026881969164,0.038080994017487345,0.08692,0.06665032548754879,0.03824948311509304,0.08706,0.06667623301179072,0.036498895734046265,0.08603,0.06657022717333423,0.039811840293712715,0.08716,0.06612016445131995,0.035227806481916396,0.08516,0.0664314803844721
40,0.03757689214121265,0.0020489761318884486,0.070825,0.0005620275793944625,0.05446663456731393,0.0008392047391516928,0.03462350457424349,0.07105,0.05562689859936906,0.03449720670391061,0.0716,0.05605706132876755,0.03956732137773982,0.07026,0.05338969798619205,0.038521236066036406,0.07087,0.05422007927386627,0.039708152097656796,0.07127,0.05409720094904579,0.037711683506475024,0.07027,0.05397809833505278,0.03966918979534623,0.07134,0.054163242135156206,0.03631684300829282,0.06994,0.05420079793106177
45,0.03780337535488497,0.0020547185820450997,0.0577425,0.000498917578363401,0.04434776247871007,0.0007748492362565318,0.03548774215669467,0.05833,0.045426506531248946,0.035081685296646604,0.05815,0.04536937455990474,0.04032965106084517,0.05703,0.04313202332351549,0.03644843669027466,0.05789,0.04486201581904482,0.03973168214654283,0.05814,0.04412539676601312,0.03919510061242345,0.05715,0.04351246325881779,0.03994490358126722,0.05808,0.04402241695080897,0.03620780129438517,0.05717,0.04433190262032668
50,0.03812267288464622,0.0021937337412439657,0.04679,0.0003931284777270656,0.03586742354258979,0.0005653652647490216,0.03636750319013186,0.04702,0.03642217252406106,0.036018755328218244,0.04692,0.03641006744452686,0.03951630317426042,0.04631,0.03520539152712243,0.0351931330472103,0.0466,0.03638502968379082,0.0384534566085312,0.04759,0.03639877528947082,0.0384200302180013,0.04633,0.03544455995733246,0.04261666311527807,0.04693,0.035001882661033296,0.038395538395538394,0.04662,0.03567150925338056
55,0.0385980607776266,0.002156293613079084,0.037665,0.00033503731135501897,0.028790875772456637,0.00046494226789780836,0.037046837787774546,0.03779,0.02915080324380416,0.03734876380852183,0.03802,0.029258724777854506,0.038657718120805366,0.03725,0.02849131262443644,0.03481264948179644,0.03763,0.02944584071215953,0.039958213632802296,0.03829,0.029014124892114607,0.03836866112154548,0.03727,0.028522296050610227,0.0424,0.0375,0.02800643050275703,0.040191642267766836,0.03757,0.02843747337591661
60,0.03889386085930394,0.0022318625657424583,0.030072500000000002,0.00037615654985657194,0.02294342323561941,0.0003166763492536878,0.03793219201074186,0.02979,0.02287141292894965,0.037537043134672377,0.03037,0.023327053447613592,0.038978494623655914,0.02976,0.022711819733667118,0.03545394300861498,0.03018,0.02352509461672482,0.04191033138401559,0.03078,0.02305713113123377,0.036974219810040704,0.02948,0.022751178965425035,0.042178678180006646,0.03011,0.022513985731215925,0.04018598472268349,0.03011,0.02278970933012538
65,0.039545059388580495,0.0030967692228642315,0.02404875,0.00040085650487425064,0.01827407933692562,0.0004172899782992819,0.04112463281577843,0.02383,0.01793575877171441,0.03998351195383347,0.02426,0.018335107568811366,0.03530895334174023,0.02379,0.01856728845207244,0.03455368161250514,0.02431,0.0190566199736819,0.0425531914893617,0.02491,0.01858466774270581,0.03808717731696995,0.02363,0.018114355831410623,0.040962837837837836,0.02368,0.017843788979020815,0.043786488740617184,0.02398,0.017755047375987605
70,0.04011039666392116,0.0034842986654052325,0.0191275,0.0004202008448349431,0.014485797667336254,0.00039733293212973014,0.04263157894736842,0.019,0.014177912114195756,0.03950743971267317,0.01949,0.014762854722883061,0.03424291064740503,0.01869,0.014676667044993796,0.0353483606557377,0.01952,0.0152370345802362,0.043478260869565216,0.01978,0.01467664140216033,0.04233654876741694,0.01866,0.01393925651240336,0.03920515574650913,0.01862,0.014183695070097268,0.044132917964693666,0.01926,0.014232319891720264
75,0.04032422611084925,0.005177113202648496,0.015130000000000001,0.00032634337744161425,0.011455390087839766,0.0004557582674813292,0.045484508899143045,0.01517,0.01112555445057854,0.0377113133940182,0.01538,0.011803335634411695,0.03271028037383177,0.01498,0.011890229456999959,0.032362459546925564,0.01545,0.012280404261784544,0.04448742746615087,0.01551,0.011436905818755226,0.04129993229519296,0.01477,0.011101594506973006,0.04201101928374656,0.01452,0.010887463325119058,0.04652686762778506,0.01526,0.011117633248096103
80,0.042016065144360945,0.005044345709743076,0.01211375,0.00034183100722432987,0.00907887947680227,0.0004027488724616919,0.046811945117029866,0.01239,0.009022350669502724,0.03643724696356275,0.01235,0.009549747266493547,0.03550784475639967,0.01211,0.009456447214202997,0.03565640194489465,0.01234,0.009604439407856147,0.045307443365695796,0.01236,0.009070443365342466,0.0432937181663837,0.01178,0.008752769546854434,0.04401408450704225,0.01136,0.008407856789249293,0.049099836333878884,0.01222,0.008766981554916552
85,0.043615816312270655,0.006367215749919752,0.00957875,0.00022262285933838854,0.0071148033201576194,0.0003501048368447052,0.050102249488752554,0.00978,0.006983065987970508,0.035860655737704916,0.00976,0.007573470474556686,0.03854166666666667,0.0096,0.0073803379277988775,0.033880903490759756,0.00974,0.007656288702947272,0.04845360824742268,0.0097,0.006987209044447608,0.04385026737967915,0.00935,0.0069199195981193805,0.046153846153846156,0.0091,0.006655970209787415,0.052083333333333336,0.0096,0.006762164615633207
90,0.04284547882518415,0.006668002975145836,0.0076625,0.0002049237663132317,0.005719364371913455,0.00024270099285000337,0.04949238578680203,0.00788,0.00566265437174995,0.04204993429697766,0.00761,0.005703834500797426,0.03337612323491656,0.00779,0.006184034730545012,0.031704095112285335,0.00757,0.006027575438304831,0.04924242424242424,0.00792,0.005677335757197321,0.043941411451398134,0.00751,0.005553552112036513,0.04269972451790634,0.00726,0.0054174032272472005,0.05025773195876289,0.00776,0.005528524837429391
95,0.04267112381400238,0.006877036211513347,0.00608,0.00014352700094407312,0.004540835288073352,0.00015653674569834244,0.045813586097946286,0.00633,0.004637045123887409,0.043333333333333335,0.006,0.00447811400983185,0.03431372549019608,0.00612,0.004825540684566408,0.03236797274275979,0.00587,0.004643200579947367,0.050080775444264945,0.00619,0.004415377448081796,0.03814262023217247,0.00603,0.004614331568906052,0.04391891891891892,0.00592,0.004389931165408184,0.05339805825242718,0.00618,0.004323141723957749
100,0.04088372183780789,0.01108172444928229,0.004785,0.00014874474780643507,0.0036212073609900508,0.00023021302010344536,0.046370967741935484,0.00496,0.003618397471797598,0.0350109409190372,0.00457,0.003595822583855666,0.028225806451612902,0.00496,0.004072124696853183,0.026490066225165563,0.00453,0.003724987961043277,0.056016597510373446,0.00482,0.0033188168153228327,0.03549060542797495,0.00479,0.0037270356329617157,0.04149377593360996,0.00482,0.0036177375476256256,0.057971014492753624,0.00483,0.0032947361784605115
