distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.0953265659776594,0.0016934271221771548,0.18371625,0.0010794551577068883,0.10031584551302075,0.001321924841183655,0.09718088848006061,0.18481,0.0998096438292897,0.09338437483150915,0.18547,0.10244495334927137,0.09505494505494505,0.182,0.09951656143530628,0.09262872628726287,0.1845,0.1023771776218093,0.09541943205309542,0.18382,0.10031126325014199,0.09714785269369468,0.18302,0.09883905779319795,0.0944149663585143,0.18281,0.10036792660889209,0.09738134206219312,0.1833,0.09886018021625734
5,0.1159597929205054,0.0020061748018637125,0.18174374999999998,0.0014930165563382066,0.08767691178574247,0.0015111540799671956,0.11746505331786286,0.18099,0.0865348977684031,0.11615086512744938,0.18321,0.08827836448510862,0.11444308445532436,0.17974,0.08749655569892108,0.11459295063270515,0.18413,0.0895602104825994,0.11355532393439026,0.18229,0.08922628870064025,0.11950344827586207,0.18125,0.08554170388208825,0.11406198663892235,0.18262,0.08910583243245293,0.11790563098152682,0.17972,0.085671440835726
10,0.13080239541779942,0.0025091078640286668,0.17420750000000002,0.0012168992357627635,0.07672823691082795,0.0015677462530138307,0.12948482060717573,0.17392,0.07724090964478153,0.13198085251880556,0.17548,0.07670329780156974,0.1311712336686322,0.17298,0.0760018423720811,0.12771754555259124,0.17617,0.07907843162174025,0.13053919606609868,0.17489,0.07714512638244776,0.13556581986143187,0.1732,0.07403052191150311,0.12738415716822268,0.17459,0.07852786296856772,0.13257553789943746,0.17243,0.07509790258393233
15,0.14199295712368948,0.002591104074284012,0.15975875,0.0015042559414873563,0.06559812741707596,0.001352920831680128,0.14317194484669143,0.15883,0.06472884613862928,0.14230007427581085,0.16156,0.0661673656637012,0.14150943396226415,0.15794,0.06504759455310893,0.14007661888284725,0.16184,0.06726608724430619,0.13943084379271778,0.16094,0.06715266391817373,0.1476547842401501,0.1599,0.06331625743425037,0.13898815121309008,0.15951,0.06674698886581903,0.14281180577594416,0.15755,0.06435921551861905
20,0.1515365614496172,0.002477329463413682,0.14184750000000002,0.0013255258390540653,0.054806367241868645,0.0011770550367997013,0.15155625356938893,0.14008,0.05410960572000171,0.1518528838116467,0.14356,0.0553153399640981,0.15134904250017797,0.14047,0.05433523763585614,0.14973485905665643,0.14332,0.05601966025537396,0.14738610119672477,0.14289,0.05669088501776221,0.15613985619624982,0.14186,0.05320451500343117,0.15032312447316662,0.14236,0.055431264545136076,0.15395037079292642,0.14024,0.05334442979328981
25,0.1578079609672342,0.0026826960914360445,0.1226325,0.0010902952581755092,0.045497035178277766,0.0010187210248700435,0.1543275961459277,0.12143,0.04607487346078686,0.15837250769978928,0.12338,0.04556214025343882,0.1596355876559422,0.12184,0.04466320856734274,0.15605999189298744,0.12335,0.04628687213067825,0.15379020526911266,0.12374,0.04711260053362592,0.1593941874744167,0.12215,0.04485986292090846,0.15867901731776077,0.12415,0.04580038830639622,0.16220459428193687,0.12102,0.043616335253044834
30,0.16302728435174055,0.0025887051598106094,0.10371625,0.0008188396897439682,0.037190115244826204,0.0008133053563694527,0.15914166423924653,0.10299,0.0378729310460992,0.161136081094004,0.10457,0.03793090488469008,0.16702293043140304,0.10292,0.035934351535210185,0.1610951008645533,0.1041,0.03780817606769964,0.16231717809004875,0.10461,0.037676648529364115,0.16500724987916868,0.10345,0.03663649556478348,0.16227064220183487,0.10464,0.03770140192108016,0.1662274280136652,0.10245,0.03596001240968275
35,0.1676725061725611,0.0020771828856994516,0.08645375,0.000717581659116229,0.030059427332882353,0.0006025017599678465,0.16600790513833993,0.08602,0.030237176046461197,0.168460833715071,0.08732,0.0301623587905583,0.1706607724523034,0.08596,0.02929114188398948,0.1669351127473539,0.08692,0.030394225279178202,0.1664369400413508,0.08706,0.030516709686619854,0.16866209461815646,0.08603,0.029722682227542593,0.164066085360257,0.08716,0.03103381604223059,0.17015030530765618,0.08516,0.029117308706478634
40,0.17113721131548337,0.0017977669246241653,0.070825,0.0005620275793944625,0.024062712120280938,0.00045114614119946405,0.17142857142857143,0.07105,0.024088533488978412,0.16983240223463686,0.0716,0.024503490353371345,0.17349843438656418,0.07026,0.023491338841171917,0.17031183857767743,0.07087,0.024225990827538693,0.17132033113511996,0.07127,0.02418074674759022,0.17219296997296143,0.07027,0.023723030472410346,0.16750770955985422,0.07134,0.024828958119476677,0.17300543322848155,0.06994,0.02345960811170989
45,0.17346495236749523,0.0034536654565215613,0.0577425,0.000498917578363401,0.0193168632083491,0.00058514087364092,0.1731527515858049,0.05833,0.019549574792081907,0.1716251074806535,0.05815,0.01966561600696469,0.17815184990355953,0.05703,0.01846808803915605,0.1723959233028157,0.05789,0.019514217353703085,0.17320261437908496,0.05814,0.01947809363160241,0.17620297462817147,0.05715,0.01877539704498475,0.16632231404958678,0.05808,0.02037365950979449,0.1766660836102851,0.05717,0.018710259288505404
