distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.03382108967515082,0.0008414562763148409,0.17091374999999998,0.0008180149372108009,0.10116544471469816,0.003565567923033458,0.0327536231884058,0.1725,0.10528612659802887,0.03301721109940288,0.17082,0.10125564694448735,0.033309957924263674,0.17112,0.10135475716879414,0.034476703348162024,0.17084,0.0989701740614385,0.03510831914518875,0.17033,0.10157988221146959,0.034952257456088646,0.16966,0.10336656014514224,0.03339789869108411,0.17037,0.09313258076761435,0.03355274654861071,0.17167,0.10437782982061015
5,0.03356777779859742,0.0009632213871816911,0.16884375000000001,0.0007863990319805824,0.10051315842822356,0.0030487919525755873,0.03330966749497101,0.16902,0.1008388805921872,0.031864487088367685,0.16884,0.10247320043787976,0.03316476537692579,0.17006,0.10153451041785307,0.034431932079476445,0.16961,0.1005916940438278,0.034482758620689655,0.16733,0.10058733984268499,0.03506169909824395,0.16856,0.10335784447376536,0.033291718684977115,0.16821,0.09281157750628997,0.03293519394512772,0.16912,0.10191022011130037
10,0.03379613101990454,0.001092506285232522,0.16155625,0.0007373760489058481,0.0968591018091817,0.0025132994598234264,0.03325077399380805,0.1615,0.0967151651007454,0.03163694898464586,0.16152,0.0955785964072192,0.03355498091368058,0.16242,0.09759532340994026,0.035014435776153326,0.16279,0.0982734685710099,0.03457314028956565,0.16024,0.09790690034941943,0.034714028441905236,0.16103,0.09971232738803873,0.03470675575352636,0.16164,0.0909132724723368,0.03291798400595127,0.16131,0.09817776077474387
15,0.033916155640787406,0.0010541018685861104,0.14785875,0.000773780290198709,0.0880372939388,0.0028912098117202687,0.033251900108577634,0.14736,0.08868953329826726,0.032286508851658416,0.14743,0.08506646734839661,0.03312601406165495,0.14792,0.0903969654198563,0.03401951610747226,0.14962,0.08933590988725486,0.03508059054584857,0.14766,0.08955570758974721,0.034970689306650496,0.14841,0.09215959584921604,0.035392229981693675,0.14749,0.08271610018177956,0.03320179616274323,0.14698,0.08637807193588214
20,0.03414790483549373,0.0015917385675803016,0.13125625000000002,0.0010966076953496202,0.07828317529105192,0.002033757144325609,0.03552833078101072,0.1306,0.077134507187548,0.03159266927382869,0.13041,0.07726486430144358,0.03278062199128907,0.13087,0.07869938135826579,0.033530424369433424,0.13361,0.07891133324526045,0.03620702797469319,0.13119,0.07962030411637734,0.0348221044663134,0.1321,0.08254290625570943,0.035909920876445525,0.13144,0.07571252249775187,0.03281213895093584,0.12983,0.07637958336605888
25,0.03439347844122764,0.002212615609394282,0.11342625,0.001049546777185275,0.06814557509933021,0.0018641291237184226,0.03546728143287817,0.11278,0.06603559099888741,0.030610428901939848,0.11238,0.06864828176691172,0.033043940467753365,0.11288,0.06812229619415017,0.0322887811634349,0.11552,0.06863836720525307,0.03767454114340915,0.11387,0.06899289273791127,0.03485020525810115,0.11449,0.0720786166967576,0.03693558363523902,0.11317,0.0664481196043869,0.034277065527065526,0.11232,0.06620043559038358
30,0.033913271121858046,0.0026740838444239343,0.09591125,0.0007915086465099435,0.05798884400532336,0.0013791896655926713,0.03613700638944171,0.09547,0.05532991812051763,0.029498215410455594,0.09526,0.05804939082228562,0.032227587654839386,0.09526,0.05802537695703812,0.03055470111760484,0.09753,0.05878963891062234,0.037229078087732036,0.09643,0.05815420333876044,0.034332538118452445,0.09641,0.060613756570435294,0.036484936933180445,0.09593,0.057309923194783924,0.034842105263157896,0.095,0.05763854412814352
35,0.03405372000385809,0.0022603765819305325,0.07992125,0.0006003007058966377,0.048218902161484195,0.0013106390238794747,0.03581751916551464,0.07957,0.04628879226962511,0.029835777861351387,0.07977,0.04905654167225355,0.03338813709371443,0.07907,0.04760057682217074,0.0310192023633678,0.08124,0.048556892081139405,0.03547339495378466,0.08006,0.04852112647778569,0.035364936042136946,0.07974,0.05064143370158432,0.036368165400423466,0.08029,0.04655682709435827,0.03516262715057139,0.07963,0.04852902717295647
40,0.03398460771658283,0.0020240307715777136,0.06576625,0.0005263301601656526,0.039242848187903134,0.0011197575382345764,0.034746670748507576,0.06533,0.036970537985371324,0.03099110156489721,0.06518,0.040282276702213335,0.033970925784238715,0.06535,0.03882180553723948,0.03156320119670905,0.06685,0.03943271785993344,0.035421100638491944,0.06578,0.03940701797241168,0.037285040328717094,0.06571,0.040699613879508115,0.03543425814234017,0.06632,0.03832408074455634,0.03246456332876086,0.06561,0.04000473482199137
45,0.03458145055872861,0.002329944926500207,0.05349875,0.0004587057199338153,0.031970315746330635,0.0010944868689196543,0.035179640718562874,0.05344,0.030386400612187437,0.03042903042903043,0.05291,0.03401447780012398,0.03468966810425651,0.05333,0.031325320135507866,0.0323469950376769,0.05441,0.03187248525634734,0.03707823507601038,0.05394,0.032233333072925294,0.0383235793845573,0.05297,0.03312298973310803,0.034766355140186916,0.0535,0.03093984736801104,0.03383810057954758,0.05349,0.03186767199243412
