distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.25024119425332714,0.0042947633640417465,0.1163525,0.0010330628006079777,0.0003618935450581622,0.0006012375386912912,0.25856401384083044,0.1156,0.0,0.251219087425984,0.11484,0.0,0.2511234013135154,0.11572,0.0,0.2545126353790614,0.11634,0.0,0.2466903175564593,0.11557,0.0015646602374863236,0.247811676723039,0.11767,0.00011462298233169043,0.2446085922907115,0.11778,0.0012158651406472838,0.2473998294970162,0.1173,0.0
5,0.24903017807059982,0.004304144240495453,0.11479375,0.0012353738047651797,0.00035208121266646654,0.0003557741887791262,0.25675085204928777,0.11443,0.0,0.2518597236981934,0.11292,0.0,0.2449519442729918,0.11341,0.0006434156558780465,0.2519753408005557,0.11517,0.00010354863336481664,0.24912311469659768,0.11404,0.0010074555610140395,0.24965481532619951,0.11588,0.0,0.24263446385748544,0.11676,0.0005461609937454447,0.24529116986348712,0.11574,0.0005160688573293847
10,0.2491961728366437,0.004483044021041366,0.10979375000000001,0.0012099477003160088,0.0004421068625055329,0.0005821433797112928,0.25486079415791874,0.10955,0.0,0.25170948068748844,0.10822,0.0,0.24290453372650203,0.10852,0.0014300934527177156,0.2518746047520101,0.11069,0.0012359361146855388,0.2547700248870864,0.10849,0.0,0.2480905741755773,0.11129,3.3590942010670195e-05,0.2458045409674235,0.11143,0.0,0.24355482933914308,0.11016,0.0008372343906303386
15,0.25029800697562543,0.004273614204349829,0.10078999999999999,0.0012045642365602588,0.00039833533925476305,0.0004960834097591502,0.25526157546602524,0.09978,0.0,0.25167550265079525,0.09997,0.0,0.24252359662195727,0.10065,0.0011995462090124136,0.25308884094920575,0.10198,0.0012072928153560763,0.2560494077148932,0.09877,0.0,0.2480778588807786,0.10275,0.0002278418126812015,0.24702058504875407,0.10153,1.3868950530030533e-05,0.24868668847259393,0.10089,0.0005381329264583822
20,0.25130731586643995,0.005132260357391838,0.0890875,0.001024081905904015,0.00042066502495876826,0.000551343638079533,0.2564946114577425,0.08815,0.0,0.2567476383265857,0.08892,0.0,0.2444644262110824,0.08897,0.0008208276046591621,0.2489991103202847,0.08992,0.0016082173225664606,0.2595297877196987,0.08762,0.0,0.2476963580517771,0.09116,2.498602146700691e-05,0.24706277274253105,0.08937,0.00016277801773104098,0.24946382210181736,0.08859,0.0007485112332464755
25,0.2501525277648907,0.005708677636880183,0.07708,0.0007824800316940997,0.00038860423128241333,0.0005448768157372583,0.25925925925925924,0.07668,0.0,0.2515608740894901,0.07688,0.0,0.24027072758037224,0.07683,0.0004436582904009216,0.24878236349653934,0.07802,0.0014009951692426775,0.2572630471933745,0.07607,0.0,0.2462477741032816,0.07862,7.328084933325079e-05,0.2508434985725409,0.07706,0.0,0.2469926778242678,0.07648,0.0011908995412824568
30,0.24991456715177668,0.0053669274292680175,0.0650425,0.0005285061494438828,0.0003027232974069466,0.0004514066059286188,0.26000620539869684,0.06446,0.0,0.25107493857493857,0.06512,0.0,0.24076061953688085,0.06521,0.0,0.2509118541033435,0.0658,0.0011520824102875904,0.2544131310003097,0.06458,0.0,0.24597875569044006,0.0659,0.00029580435888335927,0.2482192629296996,0.06458,0.0,0.24795176997990415,0.06469,0.0009738996100846232
35,0.24909761738550332,0.0064655127588999425,0.054137500000000005,0.0005093316699362016,0.00030499391153655683,0.0004154790876357312,0.2631185807656396,0.05355,0.0,0.2487553014936382,0.05423,0.0,0.23810408921933085,0.0538,0.00010339478627591248,0.24827335514358415,0.05502,0.0010402760814891315,0.25197573975372173,0.05441,0.0,0.2471169686985173,0.05463,0.0003382071633305496,0.24742653939734233,0.05343,0.0,0.24801036461225245,0.05403,0.0009580732611968608
40,0.24874032740419544,0.004829678280438855,0.044631250000000004,0.0006174025732858582,0.0002416426875965716,0.000391206297370953,0.25718163311467995,0.04421,0.0,0.24768779607489286,0.04433,0.0,0.23869801084990958,0.04424,0.00015691992425586357,0.2467871923328251,0.04591,0.0011013673573717782,0.2515212981744422,0.04437,0.0,0.24866903283052352,0.04508,1.1828400961952658e-06,0.24954421148587055,0.04388,0.0,0.2498334443704197,0.04503,0.0006736713790487356
45,0.24987963056100446,0.005254706272324521,0.03635,0.0004864154602806118,0.00025355252295510163,0.00034631493355440074,0.25873544093178036,0.03606,0.0,0.24937862468931235,0.03621,0.0,0.23970141000829417,0.03617,0.0003868566762425987,0.24691358024691357,0.03726,0.001079913691560918,0.25269858843066706,0.03613,0.0,0.2470748299319728,0.03675,0.0002711710535522344,0.25112485939257595,0.03556,0.0,0.25340971085651937,0.03666,0.0002904787622850617
