distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.0,0.0,0.18411125,0.0010480987250731633,0.18410626442509787,0.0010483470430872075,0.0,0.18449,0.1844645747107476,0.0,0.18591,0.1859091428872196,0.0,0.18431,0.18430913544658475,0.0,0.18428,0.1842796477029221,0.0,0.18287,0.18285951947500434,0.0,0.18237,0.18236956925597497,0.0,0.18375,0.18374946257119848,0.0,0.18491,0.184909063351131
5,0.0,0.0,0.16764875,0.0008341827962143561,0.1676371974806275,0.0008360002984718845,0.0,0.16875,0.16871998002259592,0.0,0.16868,0.168679828942924,0.0,0.16653,0.16649676224917234,0.0,0.16659,0.16658256907834748,0.0,0.16802,0.16801865364241622,0.0,0.16694,0.16693900444053125,0.0,0.16752,0.16750542118389916,0.0,0.16816,0.16815536028513375
10,0.0,0.0,0.122365,0.001007149442734295,0.12235725861131204,0.0010083455611209543,0.0,0.12431,0.12430004161054599,0.0,0.12262,0.12261953878898428,0.0,0.12049,0.12047876316428645,0.0,0.12223,0.12222794565943738,0.0,0.12265,0.12264992883566107,0.0,0.12246,0.12245287242987411,0.0,0.12159,0.12157500131060135,0.0,0.12257,0.12255397709110562
15,0.0,0.0,0.0784775,0.0007661388581712856,0.0784644583861629,0.0007623121494470197,0.0,0.07908,0.07906505428188083,0.0,0.07816,0.07815750442926718,0.0,0.07736,0.0773531034175858,0.0,0.07804,0.07801920128303182,0.0,0.07851,0.07850979327055042,0.0,0.07908,0.0790741619842204,0.0,0.07774,0.07771912101048077,0.0,0.07985,0.07981772741228595
20,0.0,0.0,0.04693125,0.0004595225103300156,0.046917069219441755,0.0004536019152982296,0.0,0.04736,0.04735522339835182,0.0,0.04733,0.04731898792304074,0.0,0.04654,0.04653324818408069,0.0,0.04652,0.04650629780632561,0.0,0.04667,0.0466646195037337,0.0,0.04724,0.04721651838800742,0.0,0.04624,0.04623098899029116,0.0,0.04755,0.04751066956170293
25,0.0,0.0,0.02698125,0.00046793262068379056,0.026969227992912216,0.0004684114444918507,0.0,0.02753,0.027522639337563007,0.0,0.02751,0.027503179453337582,0.0,0.02652,0.026513732747203644,0.0,0.02651,0.026509779595392694,0.0,0.02668,0.026670904032132653,0.0,0.02718,0.027176167550567756,0.0,0.02641,0.0263763372157639,0.0,0.02751,0.027481084011336518
30,0.0,0.0,0.015485,0.00029933259094191484,0.015477454006216028,0.00030082856182396187,0.0,0.01571,0.015709885208666726,0.0,0.01585,0.0158444244634688,0.0,0.01544,0.015438486257182835,0.0,0.01593,0.015926191545652606,0.0,0.01529,0.015280445129636425,0.0,0.01501,0.015008265067225102,0.0,0.01523,0.015220407476398173,0.0,0.01542,0.015391526901497542
35,0.0,0.0,0.00873375,0.0001542674220307063,0.008722349230258431,0.00016513754346265513,0.0,0.00897,0.008966453251703256,0.0,0.00876,0.008744051180295209,0.0,0.00857,0.008568577451497805,0.0,0.00889,0.008885707138138715,0.0,0.00869,0.008683947675689543,0.0,0.00869,0.008683947675689543,0.0,0.00883,0.008829338276773782,0.0,0.00847,0.008416771192279588
40,0.0,0.0,0.00495375,0.00017768915977065116,0.0049400138936890985,0.00017916550492154726,0.0,0.00506,0.005056349886349513,0.0,0.00502,0.004986842101549438,0.0,0.00491,0.004908809930315719,0.0,0.00527,0.005269657799647559,0.0,0.00485,0.0048374842210874,0.0,0.00461,0.0046096088060391645,0.0,0.00501,0.005000997415396333,0.0,0.0049,0.00485036098912766
45,0.0,0.0,0.0027875,0.00012305994474238964,0.0027753698264139388,0.00011869777706448149,0.0,0.00282,0.0028149843174203374,0.0,0.00289,0.0028297802603798484,0.0,0.00283,0.002829770591898177,0.0,0.00283,0.002829362734051622,0.0,0.00266,0.002659566090400483,0.0,0.00253,0.0025251793900298008,0.0,0.00294,0.0029375459636880124,0.0,0.0028,0.002776769263443229
