distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.0,0.0,0.18411125,0.0010480987250731633,0.18410626442509787,0.0010483470430872075,0.0,0.18449,0.1844645747107476,0.0,0.18591,0.1859091428872196,0.0,0.18431,0.18430913544658475,0.0,0.18428,0.1842796477029221,0.0,0.18287,0.18285951947500434,0.0,0.18237,0.18236956925597497,0.0,0.18375,0.18374946257119848,0.0,0.18491,0.184909063351131
5,0.0011925664915443234,0.0002776910721679538,0.18229,0.0012027780343853987,0.17987160718844,0.0011247050617477915,0.0011475409836065574,0.183,0.18061897146607916,0.0015733506944444445,0.18432,0.18119863692812502,0.0009352478406777796,0.18177,0.17981275157334825,0.0015926190345433577,0.18209,0.17897186728484232,0.0014306938865349694,0.18173,0.17892646918030344,0.0010530399600953279,0.18043,0.1782862694892444,0.0008824664938503116,0.18131,0.17944318671644455,0.0009255730386018402,0.18367,0.18171470486913288
10,0.0021939988721132765,0.00039958289489558753,0.1748925,0.0011160841142136178,0.1709547084684197,0.001205605432538323,0.0023804126048515076,0.17644,0.17215730696548087,0.002502274795268426,0.17584,0.17140234686765138,0.002009877110370966,0.17414,0.17048386145607866,0.002822092956286356,0.17363,0.16876265249960873,0.002569226377390808,0.17515,0.17064114599677385,0.001791079269701872,0.17308,0.16981025076709658,0.0017153639430499172,0.17489,0.17169296208595577,0.0017616639199863613,0.17597,0.17268714110871167
15,0.0033245820292824415,0.0005513575405964763,0.16085125,0.0009727337444028595,0.15567883747664613,0.0009009697425706208,0.003392339480663665,0.16213,0.1568107279855381,0.00406003937007874,0.16256,0.15636098140568466,0.0032542712309906754,0.15979,0.15471392496792905,0.004181228157763355,0.16024,0.15397080153357573,0.0035394932935916544,0.16104,0.15558816401132927,0.002807411566535654,0.16029,0.15582654533451257,0.0026286143447239955,0.15978,0.15555657194149533,0.00273325878991179,0.16098,0.1566029826331045
20,0.005035309012453236,0.0006386424424823785,0.1431775,0.0008901369276689942,0.13663698521818507,0.0007545568520500106,0.005194985107709358,0.14437,0.13759193474056208,0.005958154357766385,0.14434,0.1367453923264742,0.0045874797092243635,0.14169,0.13570517722066627,0.006079239745650199,0.14311,0.13545014171098,0.005082149818991924,0.14364,0.1370346037552717,0.004395144411887819,0.14334,0.13750377049025375,0.004710017574692443,0.14225,0.13607252667624928,0.0042753013737033925,0.14268,0.13699233482502327
25,0.006949110571701363,0.0008145091231403918,0.12409125000000001,0.001068637420971212,0.11667162239152128,0.00110868747948294,0.00705229793977813,0.1262,0.11855075009342658,0.008109193095142513,0.12455,0.11608454032248425,0.006957518212327085,0.12217,0.11484780255370375,0.008303772976459206,0.12404,0.1154393071666454,0.006669345118521495,0.12445,0.11726127580770355,0.006533311824487821,0.12398,0.11694105919480115,0.006002108849055074,0.12329,0.11674795820284987,0.005965336557839581,0.12405,0.11750028579055566
30,0.009278841425652986,0.0009576799457248985,0.105455,0.0009218324142706204,0.09744209789448627,0.0009204641346438159,0.009502515371716043,0.10734,0.09902169315935795,0.0103229472487925,0.10559,0.09683663655041387,0.008749158734737044,0.10401,0.09648120069741153,0.01101196126827416,0.10534,0.09612746542325767,0.009141456978607106,0.10611,0.09814590951771039,0.009328003045878545,0.10506,0.09704028719891775,0.007925897631779985,0.10472,0.09770882583369551,0.008248791125438514,0.10547,0.09817476477512548
35,0.012400908486532566,0.0011541131473612903,0.08858125,0.0006738960880580945,0.08004758662259708,0.0007164746447750614,0.013257575757575758,0.08976,0.080629573844207,0.013405429762307085,0.08877,0.0796638867892285,0.011961722488038277,0.08778,0.07956373701171372,0.014476362813843022,0.08842,0.07876034321386223,0.011798071469086784,0.08815,0.079996647239893,0.012285843101893597,0.08872,0.08023824276876328,0.01071713601641774,0.08771,0.08018801033705848,0.011305126483098277,0.08934,0.08134025177605038
40,0.016221906376468406,0.0015954890971787716,0.07336625,0.0008113405188328762,0.06459137811834825,0.0010412601018668648,0.0168181201681812,0.07373,0.06463870763499781,0.017128874388254486,0.07356,0.06436103465242335,0.015956708755376716,0.07207,0.06355505492402333,0.01965095506389996,0.07277,0.06261530821578905,0.015190560151905601,0.07373,0.06536144374852196,0.015834348355663823,0.07389,0.06522021406321937,0.013938724813690313,0.07246,0.0647693833598549,0.015256959314775161,0.07472,0.0662098783479562
45,0.02129622466828362,0.001462413284634353,0.06045125,0.0006400671351506804,0.051460578823319704,0.0006777923431418742,0.02172847573925829,0.06121,0.05195565420611364,0.021653543307086614,0.06096,0.051773593092833976,0.020780961957432547,0.05967,0.050965963131904365,0.02478788887040426,0.06011,0.05002934019682482,0.020309638754786082,0.06007,0.05146172826922665,0.020843591006072543,0.06093,0.052021148041980846,0.01965725806451613,0.05952,0.051204644578417384,0.020608439646712464,0.06114,0.05227255906925595
