distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.0,0.0,0.159565,0.000893993847853557,0.15955364765854707,0.000898651501313073,0.0,0.16077,0.16075397222844812,0.0,0.16109,0.1610848731960451,0.0,0.15866,0.15862782928497735,0.0,0.15882,0.15880866136723987,0.0,0.15969,0.159689800792568,0.0,0.15908,0.15907895525068583,0.0,0.1586,0.1585767687308171,0.0,0.15981,0.159808320417595
5,0.0,0.0,0.14158625000000002,0.0007908213688943967,0.1415768118780035,0.0007965303278457356,0.0,0.14264,0.1426298026558734,0.0,0.14258,0.14257676206455702,0.0,0.14028,0.14026407110989508,0.0,0.14149,0.1414863165119908,0.0,0.14186,0.14185986982588158,0.0,0.14194,0.14193471257982468,0.0,0.14065,0.14061971420616665,0.0,0.14125,0.14124324606983882
10,0.0,0.0,0.12215875000000001,0.001015276286288615,0.12215132955454207,0.0010164085085442088,0.0,0.12414,0.12413077468191261,0.0,0.12239,0.12238943360102265,0.0,0.12032,0.12031017721018167,0.0,0.12207,0.12206808006339742,0.0,0.12252,0.12251999057985592,0.0,0.1222,0.12219232834013181,0.0,0.12131,0.12129571358852649,0.0,0.12232,0.12230413837130796
15,0.0,0.0,0.103295,0.0008236807634029118,0.10328621923544516,0.0008249209582239673,0.0,0.10502,0.1050146808412013,0.0,0.10333,0.10332956368659621,0.0,0.10207,0.1020683031624874,0.0,0.10311,0.10310722330896846,0.0,0.10389,0.1038880495967136,0.0,0.10289,0.10288227039123492,0.0,0.10267,0.10264646977072904,0.0,0.10338,0.1033531931256303
20,0.0,0.0,0.08621875000000001,0.0006639171164384901,0.08620892511566655,0.0006619245386120747,0.0,0.08726,0.08724963003465447,0.0,0.08626,0.08625924737528733,0.0,0.08554,0.08553404967277188,0.0,0.08595,0.08594177419035931,0.0,0.0857,0.08569951517302815,0.0,0.08647,0.08646080253051094,0.0,0.0854,0.08537891247428404,0.0,0.08717,0.08714746947443622
25,0.0,0.0,0.07086,0.0008128960573160614,0.07085101598449828,0.0008113501115817962,0.0,0.07119,0.07117612871079783,0.0,0.07091,0.07090457886216424,0.0,0.06966,0.06965575842519105,0.0,0.07011,0.07010389964993208,0.0,0.07117,0.0711696341059938,0.0,0.07144,0.07142641254366883,0.0,0.07008,0.07006467882581897,0.0,0.07232,0.07230703675241931
30,0.0,0.0,0.057772500000000004,0.0006432874551862482,0.05776086724587258,0.0006393681153267772,0.0,0.05844,0.05843129020639689,0.0,0.05826,0.05825492842624094,0.0,0.05716,0.05715483082368536,0.0,0.0573,0.05728934424474261,0.0,0.05729,0.05728291727053637,0.0,0.05834,0.05832036852294559,0.0,0.05684,0.05683061349431118,0.0,0.05855,0.05852264497812168
35,0.0,0.0,0.04685125,0.0004743004717476032,0.046836930914889094,0.0004682761338737904,0.0,0.04731,0.04730504604777487,0.0,0.04724,0.04722973203994558,0.0,0.04648,0.04647323946772596,0.0,0.04638,0.04636566534383989,0.0,0.04656,0.046554422416339204,0.0,0.04716,0.04713647854573245,0.0,0.04617,0.04616121126646702,0.0,0.04751,0.047469652191287785
40,0.0,0.0,0.037615,0.0004360332556124581,0.03760197950505691,0.0004343369370437682,0.0,0.03802,0.038011226489249955,0.0,0.03803,0.03802580989419319,0.0,0.03712,0.03710208868528563,0.0,0.03724,0.037228810975976696,0.0,0.03731,0.03730280553814702,0.0,0.03802,0.03800393981751734,0.0,0.03707,0.03706073500436401,0.0,0.03811,0.038080419635721445
45,0.0,0.0,0.030150000000000003,0.00032733774606665873,0.030139522962703325,0.00032556207609784065,0.0,0.03062,0.030610349919620337,0.0,0.03037,0.030358690711008246,0.0,0.02985,0.029845106251044667,0.0,0.02982,0.029819845183445045,0.0,0.02991,0.029900427147953518,0.0,0.0304,0.03039757015295219,0.0,0.02975,0.029730791104911045,0.0,0.03048,0.03045340323069156
50,0.0,0.0,0.024105,0.00048298550702893724,0.02409724647074001,0.00048292391253540435,0.0,0.02488,0.024879814444047983,0.0,0.02463,0.024626412178422038,0.0,0.02356,0.023552345058592526,0.0,0.0238,0.023799224090940197,0.0,0.02379,0.023787086025278185,0.0,0.02423,0.02422499528248335,0.0,0.0235,0.02348819922707071,0.0,0.02445,0.02441989545908509
55,0.0,0.0,0.0193225,0.00029123658767400777,0.019313911249937962,0.0002897931055248046,0.0,0.01967,0.019669966994762575,0.0,0.01977,0.019761238579854085,0.0,0.01917,0.019166383697530275,0.0,0.01931,0.019308651420730613,0.0,0.01908,0.01907562934029822,0.0,0.01929,0.019286854970873086,0.0,0.01882,0.018811888823755476,0.0,0.01947,0.019430676171699357
60,0.0,0.0,0.015442500000000001,0.0002908070666266555,0.015434825695019624,0.00029197459640621767,0.0,0.01566,0.015659926299023772,0.0,0.01575,0.0157423001766936,0.0,0.01542,0.015418802410641955,0.0,0.0159,0.015896442983082935,0.0,0.01524,0.015229982918593106,0.0,0.01497,0.014968260431217566,0.0,0.0152,0.015189956549810897,0.0,0.0154,0.015372933791093167
65,0.0,0.0,0.012315,0.0002151743479135001,0.012308395130921539,0.00021917204701439415,0.0,0.01257,0.012569305615242408,0.0,0.01251,0.012505796137684079,0.0,0.01224,0.012239622822140465,0.0,0.01259,0.01258449336750604,0.0,0.01222,0.012210553500595774,0.0,0.01199,0.011989272024400154,0.0,0.01235,0.012348311935081938,0.0,0.01205,0.012019805644721451
70,0.0,0.0,0.009755,0.00016301840386901065,0.009746666318655318,0.00016808865597536097,0.0,0.00987,0.009868355527452558,0.0,0.00973,0.009721924993642916,0.0,0.00973,0.0097260778172342,0.0,0.00998,0.00997814957037378,0.0,0.0097,0.009694168917313416,0.0,0.00944,0.009430094352562432,0.0,0.00994,0.009938142123334957,0.0,0.00965,0.009616417247328283
75,0.0,0.0,0.007774999999999999,0.00019716744153130353,0.007762309748920124,0.00020742494476955382,0.0,0.00798,0.007978228178350887,0.0,0.00794,0.007913487734056765,0.0,0.00761,0.00760976302473374,0.0,0.008,0.00799390353995662,0.0,0.00761,0.00760923218776235,0.0,0.00773,0.007725884173373611,0.0,0.0079,0.007898685088128759,0.0,0.00743,0.007369294064998263
