distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.0,0.0,0.15247500000000003,0.0007099823941479101,0.1524693249948489,0.0007063018733298217,0.0,0.15342,0.1534134531730512,0.0,0.1532,0.15319977210684083,0.0,0.15126,0.15125679335945708,0.0,0.15307,0.15303690457936237,0.0,0.15185,0.15184994252021233,0.0,0.15271,0.15270997685414858,0.0,0.1519,0.1518987159134266,0.0,0.15239,0.15238904145229226
5,0.0,0.0,0.135085,0.0005943483826847725,0.13508207904134223,0.0005933484310691663,0.0,0.13531,0.1353034315109851,0.0,0.13578,0.1357798639969009,0.0,0.1341,0.13409895858963058,0.0,0.13554,0.1355307267538116,0.0,0.13472,0.13471974084593596,0.0,0.13486,0.13485969190538996,0.0,0.13451,0.13450682039044856,0.0,0.13586,0.135857398337635
10,0.0,0.0,0.11759625,0.000627991590309934,0.11759298946000202,0.0006279426934805521,0.0,0.11756,0.11754994658786949,0.0,0.11787,0.11786876072598851,0.0,0.11638,0.11637975207153273,0.0,0.11834,0.11833980250406734,0.0,0.11701,0.11700982183616207,0.0,0.1178,0.11779285745725727,0.0,0.11742,0.11741335530847022,0.0,0.11839,0.11838961918866853
15,0.0,0.0,0.10070625,0.0007584843027380333,0.10070437585307662,0.0007585409789994328,0.0,0.10047,0.10046696654271449,0.0,0.10141,0.10140902620358298,0.0,0.09949,0.09948796333825627,0.0,0.10171,0.10170999361702115,0.0,0.10053,0.100529913177094,0.0,0.10069,0.10068406737497532,0.0,0.0998,0.09979989591776756,0.0,0.10155,0.10154718065320124
20,0.0,0.0,0.08448375,0.0006979601976474021,0.08448119982985901,0.0006977185690163394,0.0,0.08484,0.08482775606945599,0.0,0.08525,0.08524947115208625,0.0,0.08393,0.08392349460602497,0.0,0.08467,0.08466989691381299,0.0,0.08422,0.08421987666340765,0.0,0.08434,0.08433996920973094,0.0,0.08315,0.08314974928493248,0.0,0.08547,0.08546938473942081
25,0.0,0.0,0.0697825,0.0005662320637335886,0.06977793113242395,0.0005628694271987182,0.0,0.07082,0.07080278528972589,0.0,0.06996,0.06995958756517838,0.0,0.06983,0.06981987517699532,0.0,0.06975,0.06974842698882351,0.0,0.06917,0.06916999061424334,0.0,0.06971,0.06970858337484971,0.0,0.06883,0.06882610029164454,0.0,0.07019,0.07018809975793089
30,0.0,0.0,0.057027499999999995,0.000653007465500969,0.05702241516041919,0.0006494339153182887,0.0,0.05819,0.05817000423098153,0.0,0.0567,0.05669303313726999,0.0,0.05679,0.05678082245035257,0.0,0.05735,0.05734996855503,0.0,0.05607,0.0560690621288127,0.0,0.05729,0.05728808486986758,0.0,0.05629,0.05628962965047021,0.0,0.05754,0.05753871626056898
35,0.0,0.0,0.04645874999999999,0.0006237875740185923,0.04645507572473291,0.0006217398022784569,0.0,0.04772,0.04770881941514785,0.0,0.04572,0.045715052050764274,0.0,0.0465,0.04649239841642633,0.0,0.04682,0.04681990139627558,0.0,0.04616,0.046157743419443335,0.0,0.04664,0.046639975253941375,0.0,0.04561,0.04560999841844437,0.0,0.0465,0.04649671742742018
40,0.0,0.0,0.037524999999999996,0.0005847862857489048,0.03752014889010595,0.0005857161410802507,0.0,0.0385,0.03849325465921623,0.0,0.03703,0.03702998246792225,0.0,0.03753,0.037525754067875075,0.0,0.03829,0.038289772047087924,0.0,0.03704,0.03703151631723751,0.0,0.03766,0.03765662112744385,0.0,0.03669,0.03668169296070588,0.0,0.03746,0.03745259747335884
45,0.0,0.0,0.03016625,0.0005788120917016163,0.030160823830129427,0.0005803101095426792,0.0,0.03125,0.031248778891892762,0.0,0.03005,0.03004634875081023,0.0,0.02986,0.029851302659569878,0.0,0.03063,0.030628019385150435,0.0,0.0294,0.029389949412096102,0.0,0.0305,0.030494995314017302,0.0,0.02947,0.02946993880659429,0.0,0.03017,0.030157257420904436
