distancia,qber_mean,qber_std,absorption_mean,absorption_std,skr_mean,skr_std,qber_seed_42,absorption_seed_42,skr_seed_42,qber_seed_123,absorption_seed_123,skr_seed_123,qber_seed_256,absorption_seed_256,skr_seed_256,qber_seed_789,absorption_seed_789,skr_seed_789,qber_seed_1024,absorption_seed_1024,skr_seed_1024,qber_seed_2048,absorption_seed_2048,skr_seed_2048,qber_seed_4096,absorption_seed_4096,skr_seed_4096,qber_seed_8192,absorption_seed_8192,skr_seed_8192
0,0.0531938308674125,0.0014565494359663363,0.17050500000000002,0.0006097335483635427,0.08945420016235622,0.001955766945992834,0.05279868297271872,0.17008,0.08972316065431284,0.05252063938169682,0.17079,0.09078156938943431,0.054641909814323604,0.16965,0.08645042452450465,0.05444879359700882,0.17117,0.0891339743376859,0.052296444785095215,0.16961,0.08999056698286637,0.05124897384777765,0.17054,0.0901324436251678,0.05571778997780633,0.17122,0.08664793693007411,0.05187741256287285,0.17098,0.09277352485480377
5,0.05710870107954617,0.0009458254939876516,0.16886125,0.0011112429696065614,0.08588909029596686,0.0016432517336356486,0.055964565750882864,0.16707,0.08611226118947642,0.056735508096690916,0.17044,0.08746701567235107,0.058258186995728524,0.16856,0.08340726669689434,0.0575318141461971,0.16895,0.08776792344593017,0.05691397142344712,0.16727,0.08450029866440235,0.056795371354351164,0.16938,0.08475513450086902,0.058743893107304726,0.16989,0.0849264252029423,0.05592629776176696,0.16933,0.0881763969948692
10,0.06017975398929422,0.0011862245911261296,0.16126374999999998,0.0010717501749475033,0.08044018346517436,0.002258512959512813,0.05863374077061488,0.16117,0.08214434253621572,0.05943343825217552,0.16203,0.08187137743089037,0.061694406206982855,0.15982,0.08001169107664562,0.06047087980173482,0.1614,0.07964176314802324,0.05970898143502258,0.15944,0.07659149613146177,0.05868122324917809,0.16121,0.07909997853215278,0.06188103586147506,0.16257,0.07952656278889246,0.06093432633716994,0.16247,0.08463425607711283
15,0.06270074901717052,0.0017362351425564404,0.1477675,0.0011160281134451771,0.07215033675308002,0.0018563651901451809,0.060898300512543836,0.14828,0.0747937428652787,0.061923847695390784,0.1497,0.07469183630010845,0.06337013922227556,0.14581,0.07081855606972684,0.06218000538938292,0.14844,0.07148547621766277,0.062384945796686436,0.14667,0.06966813913707061,0.060258152173913046,0.1472,0.07073547177187135,0.06538201487491549,0.1479,0.07118339309047501,0.06520858647225597,0.14814,0.07382607857244647
20,0.06446743507978336,0.0016864578352675883,0.13109125,0.0009590156085799639,0.06328463283636851,0.0018284302435216666,0.0631347582234349,0.13194,0.06554008907463718,0.06513872135102533,0.13264,0.06543969846517708,0.06634778583551922,0.12962,0.06203287936236445,0.06367816091954023,0.1305,0.0611899553046108,0.06342738525409394,0.13007,0.06074557034658225,0.06155961200641564,0.13093,0.0635658309025443,0.06679302501895375,0.1319,0.0624993388268864,0.06566003202928392,0.13113,0.06526370040814557
25,0.06534989930841163,0.0013370210592486853,0.11349125,0.0007483721918270343,0.05407832770266669,0.0021060370312943355,0.06406880814463753,0.11394,0.05504611299578191,0.06458913649025069,0.11488,0.055411142976582686,0.06702721872506427,0.11279,0.05468958840065224,0.06540309663641217,0.11238,0.049773003436233094,0.06568696883852691,0.11296,0.05148721092554836,0.06329558423316653,0.11391,0.05477887527519123,0.0675628184853277,0.11382,0.05492548929370922,0.06516556291390728,0.11325,0.05651519831763479
30,0.06583174874578102,0.0010201021542851308,0.09595000000000001,0.0007999843748474077,0.04545535159289692,0.0021452657623589363,0.06508629652734456,0.09618,0.04658365613305113,0.06580433220408582,0.09741,0.04758670091980138,0.06730667791961177,0.09479,0.04521145864561441,0.06692623382089867,0.09503,0.040339389388465215,0.06537580678742452,0.09606,0.04450751420245262,0.06414388190040544,0.09619,0.04632787925706963,0.06680476437079233,0.09655,0.04715258354206266,0.06520599643568509,0.09539,0.04593363065465829
35,0.06732024463059444,0.0014326693204800985,0.07971500000000001,0.0010052735945999972,0.03715625987355017,0.002044680908829781,0.06572651725006295,0.07942,0.0381983436987868,0.06655163914222331,0.08114,0.03980752873292628,0.06718710007678526,0.07814,0.03713197325471283,0.06957070707070707,0.0792,0.03272451175117063,0.06739753332502803,0.08027,0.035939173152681025,0.06533349894423053,0.08051,0.03664719464528622,0.06938066277770882,0.08057,0.039053370825018356,0.06741429845800943,0.07847,0.03774798292781919
40,0.06776887749829327,0.002037051861818809,0.06555375,0.0008670919429333887,0.030620147176012483,0.0022248306950437106,0.06830015313935682,0.0653,0.031564219334600054,0.06836082627433497,0.06729,0.03360930058521465,0.06728682170542635,0.0645,0.031504064006448146,0.06902408894379246,0.06476,0.02618851597440595,0.06922611850060459,0.06616,0.02828661332075507,0.06260446740616928,0.06581,0.03131511843984559,0.06907545164718384,0.06587,0.03239527296659953,0.06827309236947791,0.06474,0.030098072780230876
45,0.06842536324395337,0.00235325839096816,0.05352625,0.0007290222476029119,0.024993841202614803,0.0022563167838819693,0.0699943704259711,0.05329,0.025493685045658628,0.06925460178603973,0.05487,0.02774669992842207,0.06697195191757298,0.05241,0.026202500193147023,0.07173872003020577,0.05297,0.02103227409745419,0.06886338393187708,0.05402,0.021543625104816784,0.06340378197997776,0.05394,0.02563784699042608,0.06972852361472666,0.05378,0.02676602663087703,0.067447572265256,0.05293,0.025528071630116608
50,0.06854517801444678,0.003095920436482615,0.043228749999999996,0.000711713381565922,0.019971470134187395,0.0019035364438701366,0.07488372093023256,0.043,0.019912227460763945,0.06848389276864159,0.04439,0.022109779429914687,0.06957967228686773,0.04211,0.020068560237093906,0.06793159990630124,0.04269,0.017487494017834067,0.06854653828519028,0.04362,0.016476040258667144,0.06281638288080994,0.04346,0.02068939509832697,0.0671217292377702,0.04395,0.022122042014440305,0.06899788781976061,0.04261,0.020906222556458128
55,0.06811301246639609,0.003229052068968725,0.03497,0.0006195562928419018,0.01605673716251416,0.0016610476076315578,0.07396788990825688,0.03488,0.015846777574092374,0.06876391982182628,0.03592,0.017488097025036946,0.07121922626025791,0.03412,0.016270299837421166,0.06779661016949153,0.03481,0.014043951043354137,0.0649423671633399,0.03557,0.012804969178723074,0.06276625958534507,0.03521,0.016832567425661124,0.06782065834279229,0.03524,0.01773228967899235,0.06762716847985886,0.03401,0.017434945536832117
60,0.0665567603224658,0.0026894281628910667,0.02821875,0.0005382944709914822,0.012913490307217713,0.0013084834477912388,0.06991753316600932,0.02789,0.012919271405307152,0.06826178747361013,0.02842,0.013369160482105584,0.0691663633054241,0.02747,0.013597126654977188,0.06748681898066784,0.02845,0.011794587572366908,0.06613296206056388,0.02873,0.009975584676445125,0.06136927988648457,0.02819,0.013744269781426528,0.06357388316151202,0.0291,0.014330403789241329,0.06654545454545455,0.0275,0.013577518095871885
